Average electricity price to business (Euro cent/kWh),Ireland,Euro Area,EU-27
2007S2,12.50217906,9.38,9.06
2008S1,12.71,10.61,10.19
2008S2,14.18,11,10.6
2009S1,12.31,11.51,10.91
2009S2,11.37,11.13,10.66
2010S1,10.61,11.28,10.83
2010S2,10.66,11.45,11
2011S1,10.9,12.04,11.53
2011S2,12.01,12.34,11.67
2012S1,13.1,12.67,11.98
2012S2,13.76,12.9,12.17
2013S1,13.88,13.35,12.52
2013S2,13.83,13.39,12.48
2014S1,13.89,13.79,12.7
2014S2,13.6,13.57,12.49
2015S1,14,13.51,12.42
2015S2,13.58,13.25,12.2
2016S1,12.97,12.92,11.85
2016S2,12.53,12.72,11.72
2017S1,12.37,13.06,11.97
2017S2,12.61,12.71,11.71
2018S1,13.39,12.74,11.75
2018S2,13,12.83,11.88
2019S1,12.63,13.73,12.71
2019S2,12.29,13.72,12.59
2020S1,12.53,14.16,13.03
2020S2,13.43,14.03,12.94
2021S1,14.27,14.53,13.38
2021S2,18.56,16.07,15.06
2022S1,22.26,20.2,19.27
2022S2,28.4,22.02,21.5
2023S1,27.29,21.39,20.78
2023S2,23.31,20.1,19.47
